Description; feature count; accuracy; true positive; false negative; false positive; true negative; false negative rate [%]; false positive rate [%]; AUC
                       n_estimators=50)+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.KBEST; 10; 0.9633; 595; 48; 10; 928; 7.47; 1.07; 0.9573
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.KBEST; 20; 0.9684; 605; 38; 12; 926; 5.91; 1.28; 0.9641
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.KBEST; 50; 0.9722; 607; 36; 8; 930; 5.60; 0.85; 0.9677
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.KBEST; 100; 0.9753; 611; 32; 7; 931; 4.98; 0.75; 0.9714
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.RFE; 2; 0.9001; 581; 62; 96; 842; 9.64; 10.23; 0.9006
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.RFE; 5; 0.9437; 556; 87; 2; 936; 13.53; 0.21; 0.9313
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.RFE; 10; 0.9652; 594; 49; 6; 932; 7.62; 0.64; 0.9587
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.RFE; 20; 0.9772; 619; 24; 12; 926; 3.73; 1.28; 0.9749
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.RFE; 50; 0.9785; 614; 29; 5; 933; 4.51; 0.53; 0.9748
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.RFE; 100; 0.9779; 613; 30; 5; 933; 4.67; 0.53; 0.9740
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.PCA; 2; 0.9722; 618; 25; 19; 919; 3.89; 2.03; 0.9704
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.PCA; 5; 0.9741; 624; 19; 22; 916; 2.95; 2.35; 0.9735
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.PCA; 10; 0.9747; 623; 20; 20; 918; 3.11; 2.13; 0.9738
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.PCA; 20; 0.9779; 622; 21; 14; 924; 3.27; 1.49; 0.9762
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.PCA; 50; 0.9817; 625; 18; 11; 927; 2.80; 1.17; 0.9801
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=50)+FS.PCA; 100; 0.9810; 626; 17; 13; 925; 2.64; 1.39; 0.9799
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.KBEST; 10; 0.9627; 593; 50; 9; 929; 7.78; 0.96; 0.9563
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.KBEST; 20; 0.9690; 606; 37; 12; 926; 5.75; 1.28; 0.9648
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.KBEST; 50; 0.9734; 608; 35; 7; 931; 5.44; 0.75; 0.9691
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.KBEST; 100; 0.9760; 611; 32; 6; 932; 4.98; 0.64; 0.9719
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.RFE; 2; 0.9001; 581; 62; 96; 842; 9.64; 10.23; 0.9006
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.RFE; 5; 0.9456; 562; 81; 5; 933; 12.60; 0.53; 0.9343
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.RFE; 10; 0.9646; 595; 48; 8; 930; 7.47; 0.85; 0.9584
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.RFE; 20; 0.9785; 620; 23; 11; 927; 3.58; 1.17; 0.9763
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.RFE; 50; 0.9766; 611; 32; 5; 933; 4.98; 0.53; 0.9725
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.RFE; 100; 0.9772; 612; 31; 5; 933; 4.82; 0.53; 0.9732
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.PCA; 2; 0.9722; 618; 25; 19; 919; 3.89; 2.03; 0.9704
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.PCA; 5; 0.9728; 622; 21; 22; 916; 3.27; 2.35; 0.9719
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.PCA; 10; 0.9766; 623; 20; 17; 921; 3.11; 1.81; 0.9754
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.PCA; 20; 0.9798; 623; 20; 12; 926; 3.11; 1.28; 0.9781
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.PCA; 50; 0.9785; 624; 19; 15; 923; 2.95; 1.60; 0.9772
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2,
                       n_estimators=150)+FS.PCA; 100; 0.9804; 625; 18; 13; 925; 2.80; 1.39; 0.9791
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 10; 0.9633; 594; 49; 9; 929; 7.62; 0.96; 0.9571
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 20; 0.9684; 603; 40; 10; 928; 6.22; 1.07; 0.9636
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 50; 0.9709; 605; 38; 8; 930; 5.91; 0.85; 0.9662
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 100; 0.9785; 615; 28; 6; 932; 4.35; 0.64; 0.9750
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 2; 0.9001; 581; 62; 96; 842; 9.64; 10.23; 0.9006
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 5; 0.9456; 562; 81; 5; 933; 12.60; 0.53; 0.9343
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 10; 0.9652; 597; 46; 9; 929; 7.15; 0.96; 0.9594
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 20; 0.9760; 617; 26; 12; 926; 4.04; 1.28; 0.9734
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 50; 0.9779; 613; 30; 5; 933; 4.67; 0.53; 0.9740
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 100; 0.9772; 612; 31; 5; 933; 4.82; 0.53; 0.9732
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 2; 0.9709; 617; 26; 20; 918; 4.04; 2.13; 0.9691
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 5; 0.9715; 619; 24; 21; 917; 3.73; 2.24; 0.9701
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 10; 0.9741; 624; 19; 22; 916; 2.95; 2.35; 0.9735
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 20; 0.9791; 624; 19; 14; 924; 2.95; 1.49; 0.9778
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 50; 0.9785; 623; 20; 14; 924; 3.11; 1.49; 0.9770
RandomForestClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 100; 0.9804; 626; 17; 14; 924; 2.64; 1.49; 0.9793
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.KBEST; 5; 0.9209; 520; 123; 2; 936; 19.13; 0.21; 0.9033
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.KBEST; 10; 0.9633; 594; 49; 9; 929; 7.62; 0.96; 0.9571
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.KBEST; 20; 0.9690; 603; 40; 9; 929; 6.22; 0.96; 0.9641
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.KBEST; 50; 0.9747; 610; 33; 7; 931; 5.13; 0.75; 0.9706
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.KBEST; 100; 0.9804; 618; 25; 6; 932; 3.89; 0.64; 0.9774
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.RFE; 2; 0.9001; 581; 62; 96; 842; 9.64; 10.23; 0.9006
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.RFE; 5; 0.9456; 562; 81; 5; 933; 12.60; 0.53; 0.9343
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.RFE; 10; 0.9652; 597; 46; 9; 929; 7.15; 0.96; 0.9594
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.RFE; 20; 0.9766; 618; 25; 12; 926; 3.89; 1.28; 0.9742
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.RFE; 50; 0.9804; 619; 24; 7; 931; 3.73; 0.75; 0.9776
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.RFE; 100; 0.9785; 616; 27; 7; 931; 4.20; 0.75; 0.9753
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.PCA; 2; 0.9709; 616; 27; 19; 919; 4.20; 2.03; 0.9689
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.PCA; 5; 0.9741; 623; 20; 21; 917; 3.11; 2.24; 0.9733
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.PCA; 10; 0.9747; 623; 20; 20; 918; 3.11; 2.13; 0.9738
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.PCA; 20; 0.9785; 622; 21; 13; 925; 3.27; 1.39; 0.9767
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.PCA; 50; 0.9791; 623; 20; 13; 925; 3.11; 1.39; 0.9775
RandomForestClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2,
                       n_estimators=50)+FS.PCA; 100; 0.9798; 626; 17; 15; 923; 2.64; 1.60; 0.9788
